 date ;Open;High;Low;Close
1/10/2013;132.68;134.63;131.55;132.18
2/10/2013;132.05;133.59;102.25;114.13
3/10/2013;114.45;123.63;111.82;123.63
4/10/2013;123.41;130.09;123.41;129.01
5/10/2013;128.63;130.44;128.03;128.55
6/10/2013;128.36;129.66;126.15;129
7/10/2013;129.43;130.27;126.36;126.94
8/10/2013;126.74;127.47;124.71;126
9/10/2013;125.85;131.75;125.58;130.69
10/10/2013;130.67;131.5;129.26;130.59
11/10/2013;130.75;131.81;129.64;130.9
12/10/2013;130.9;135.66;130.56;135.19
13/10/2013;135.19;138.66;134.55;138.13
14/10/2013;139.27;144.12;138.9;140.52
15/10/2013;140.77;145.39;139.13;145.24
16/10/2013;145.65;152.23;142.43;142.55
17/10/2013;142.41;147.42;142.41;146.25
18/10/2013;146.37;155.96;145.57;155.96
19/10/2013;155.91;177.48;155.7;172.42
20/10/2013;171.66;174.91;168.95;174.61
21/10/2013;174.8;184.82;174.8;182.21
22/10/2013;182.65;196.27;182.65;193.76
23/10/2013;193.36;213.62;192.38;213.62
24/10/2013;214.3;217.42;168.52;198.23
25/10/2013;197.69;198.87;168.5;186.69
26/10/2013;187.45;188.41;175.75;177.32
27/10/2013;176.6;196.44;176.6;196.44
28/10/2013;196.21;198.62;192.06;198.55
29/10/2013;198.55;204.79;198.55;204.39
30/10/2013;204.39;209.16;199.97;199.97
31/10/2013;199.83;205.18;198.85;204
1/11/2013;203.9;206.65;202.13;206.18
2/11/2013;205.81;207.76;201.65;206.22
3/11/2013;205.99;215.05;203.99;215.05
4/11/2013;214.66;231.01;213.94;229.1
5/11/2013;229.21;250.66;226.22;245.24
6/11/2013;244.78;263;244.78;262.5
7/11/2013;261.68;304.17;261.55;296.41
8/11/2013;297.85;338.66;296.93;338.11
9/11/2013;338.58;370.82;319.71;339.11
10/11/2013;348.82;350.7;277.24;326.62
11/11/2013;325.41;351.27;311.78;342.44
12/11/2013;343.06;362.81;342.8;360.33
13/11/2013;360.97;414.05;359.8;407.37
14/11/2013;406.41;425.9;395.19;420.2
15/11/2013;419.41;437.89;396.11;417.95
16/11/2013;417.28;450.26;415.57;440.22
17/11/2013;440.96;500.58;440.24;492.11
18/11/2013;496.58;703.78;494.94;703.56
19/11/2013;712.76;806.11;456.39;584.61
20/11/2013;577.98;599.65;448.45;590.83
21/11/2013;594.32;733.4;577.29;722.43
22/11/2013;724.07;780.85;668.13;771.44
23/11/2013;771.7;844.97;771.7;797.82
24/11/2013;795.63;807.36;722.87;774.25
25/11/2013;773.02;810.68;754.43;799.11
26/11/2013;805.73;928.54;800.8;928.1
27/11/2013;923.85;1001.96;891.68;1001.96
28/11/2013;1003.38;1077.56;962.17;1031.95
29/11/2013;1042.01;1146.97;1000.64;1131.97
30/11/2013;1129.37;1156.14;1106.61;1129.43
1/12/2013;1128.92;1133.08;801.82;955.85
2/12/2013;951.42;1055.42;938.41;1043.33
3/12/2013;1046.4;1096;1011.21;1078.28
4/12/2013;1077.58;1156.12;1070.16;1151.17
5/12/2013;1152.73;1154.36;897.11;1045.11
6/12/2013;1042.38;1042.38;829.45;829.45
7/12/2013;835.32;854.64;640.22;698.23
8/12/2013;697.31;802.51;670.88;795.87
9/12/2013;793.8;921.93;780.9;893.19
10/12/2013;892.32;997.23;892.32;988.51
11/12/2013;989.07;1001.58;834.23;878.48
12/12/2013;882.78;901.94;844.95;873.26
13/12/2013;874.98;941.79;860.05;892.58
14/12/2013;899.85;904.65;858.36;872.6
15/12/2013;875.29;886.16;825;876.12
16/12/2013;880.33;882.25;668.25;705.97
17/12/2013;706.37;754.83;630.88;682.12
18/12/2013;678.2;679.32;420.51;522.7
19/12/2013;519.06;707.23;502.89;691.96
20/12/2013;694.22;729.16;595.33;625.32
21/12/2013;619.9;654.27;579.17;605.66
22/12/2013;601.78;666.74;585.64;617.18
23/12/2013;613.06;680.91;611.04;673.41
24/12/2013;672.36;684.39;645.71;665.58
25/12/2013;666.31;682.7;649.48;682.21
26/12/2013;683.94;777.75;683.94;761.98
27/12/2013;763.28;777.51;713.6;735.07
28/12/2013;737.98;747.06;705.35;727.83
29/12/2013;728.05;748.61;714.44;745.05
30/12/2013;741.35;766.6;740.24;756.13
31/12/2013;760.32;760.58;738.17;754.01
1/1/2014;754.97;775.35;754.97;771.4
2/1/2014;773.44;820.31;767.21;802.39
3/1/2014;802.85;834.15;789.12;818.72
4/1/2014;823.27;859.51;801.67;859.51
5/1/2014;858.55;952.4;854.52;933.53
6/1/2014;936.05;1017.12;905.71;953.29
7/1/2014;946.49;965.74;802;802
8/1/2014;795.99;870.68;776.18;842.72
9/1/2014;841.47;864.36;804.14;846.86
10/1/2014;846.69;871.19;822.6;868.48
11/1/2014;867.32;921.48;861.72;913.95
12/1/2014;919.6;928.52;851.17;863.22
13/1/2014;860.19;861.29;806.05;841.2
14/1/2014;843.17;855.69;825.66;833.27
15/1/2014;833.12;872.81;830.86;860.9
16/1/2014;860.29;866.16;835.63;835.63
17/1/2014;834.49;842.91;797.63;814.64
18/1/2014;816.07;841.49;816.07;840
19/1/2014;839.66;870.96;825.53;870.96
20/1/2014;871.39;886.39;853.87;870.2
21/1/2014;869.65;881.2;855.93;863.91
22/1/2014;867.21;870.15;837.36;845.59
23/1/2014;845.46;851.57;819.32;822.04
24/1/2014;822.43;822.43;783.58;797.07
25/1/2014;796.24;861.45;792.96;853.61
26/1/2014;853.68;897.02;844.86;885.28
27/1/2014;884.6;893;757.11;771.39
28/1/2014;774.02;832.5;766.98;812.51
29/1/2014;809.96;836.87;809.85;826
30/1/2014;826.02;830.5;799.06;819.03
31/1/2014;818.43;831.87;812.6;829.92
1/2/2014;828.61;853.52;827.11;832.58
2/2/2014;832.9;844.72;820.67;825.37
3/2/2014;824.08;826.48;807.22;823.83
4/2/2014;823.77;840.17;820.94;827.96
5/2/2014;829.96;837.32;811.91;811.91
6/2/2014;815.59;819.81;770.59;781.55
7/2/2014;783.2;783.2;654.35;712.4
8/2/2014;699.57;721.82;661.87;673.92
9/2/2014;671.46;712.27;655.25;682.9
10/2/2014;681.32;703.71;550.5;681.03
11/2/2014;683.5;712.46;636.66;672.17
12/2/2014;672.38;672.9;643.04;651.72
13/2/2014;651.08;657.99;601.91;605.24
14/2/2014;601.17;691.72;541.04;661.99
15/2/2014;660.9;661.84;632.84;650.92
16/2/2014;651.3;665.1;584.17;616.63
17/2/2014;614.23;656.95;607.31;626.27
18/2/2014;627.16;645.76;612.54;626.6
19/2/2014;625.97;631.77;618.7;623.03
20/2/2014;623.09;627.73;556.14;556.14
21/2/2014;556.88;582.96;530.47;574.16
22/2/2014;574.24;614.48;558.58;605.42
23/2/2014;606.47;639.91;599.7;605.82
24/2/2014;606.04;607.61;538.7;546.32
25/2/2014;540.24;541.38;420.41;538.71
26/2/2014;537.04;603.8;532.58;582.69
27/2/2014;581.65;594.05;566.62;578.77
28/2/2014;579.7;584.14;545.17;549.26
1/3/2014;549.92;573.38;539.29;565.61
2/3/2014;567.23;570.48;553.27;559.79
3/3/2014;562.56;702.91;560.52;667.76
4/3/2014;668.24;696.22;655.68;666.78
5/3/2014;666.24;674.28;646.28;665.51
6/3/2014;664.52;669.77;649.79;663.86
7/3/2014;664.31;665.34;616.35;629.15
8/3/2014;629.66;635.14;604.46;617.45
9/3/2014;616.31;643.95;612.35;636.96
10/3/2014;636.33;644.76;615.02;627.79
11/3/2014;627.95;638.42;618.84;634.11
12/3/2014;631.91;648.03;629.51;632.1
13/3/2014;633.62;644.2;630.85;638.14
14/3/2014;638.14;639.53;627.21;628.8
15/3/2014;629.37;639.14;627.3;636.12
16/3/2014;636.5;637.52;628.11;631.11
17/3/2014;630.92;632.68;616.85;622.37
18/3/2014;621.84;622.39;603.8;614.83
19/3/2014;613.9;622;609.1;609.89
20/3/2014;609.74;609.74;587.49;588.77
21/3/2014;588.29;604.59;561.81;571.49
22/3/2014;571.18;572.55;554.39;565.04
23/3/2014;565.76;570.24;560.88;561.27
24/3/2014;562.51;586.56;551.77;583.41
25/3/2014;585.03;585.44;572.6;583.92
26/3/2014;583.48;590.03;570.96;580.83
27/3/2014;580.26;580.56;471.24;471.24
28/3/2014;477.14;526.02;473.23;495.67
29/3/2014;501.71;504.86;489.73;491.17
30/3/2014;492.37;492.37;444.18;460.27
31/3/2014;462.3;483.02;443.36;457
1/4/2014;457;495.34;457;478.38
2/4/2014;479.14;495.05;431.27;437.14
3/4/2014;436.44;449.57;414.89;444.72
4/4/2014;445.66;454.65;429.09;447.53
5/4/2014;446.67;463.57;444.2;461.91
6/4/2014;463.4;466.32;452.97;460.5
7/4/2014;461.47;462.56;445.12;449.42
8/4/2014;447.61;457.42;446.11;453.09
9/4/2014;453.18;455.73;441.93;442.73
10/4/2014;442.26;443.37;358.73;365.18
11/4/2014;363.71;429.77;351.27;420.95
12/4/2014;420.89;439.61;415.79;421.12
13/4/2014;421.46;427.4;395.25;414.06
14/4/2014;414.83;469.75;407.37;458.79
15/4/2014;458.37;519;453.54;515.59
16/4/2014;522.18;542.38;502.78;527.4
17/4/2014;529.07;533.52;484.87;495.96
18/4/2014;495.8;498.6;472.74;479.64
19/4/2014;479.58;503.55;470.56;501.57
20/4/2014;501.75;510.87;490.84;498.17
21/4/2014;497.74;510.57;493.2;495.77
22/4/2014;495.45;503.22;487.58;487.92
23/4/2014;488.36;493.25;485.82;491.3
24/4/2014;490.83;500.46;482.95;500.46
25/4/2014;500.09;500.3;442.95;461.45
26/4/2014;461.7;464.54;449.1;458.6
27/4/2014;457.24;459.33;436.39;436.39
28/4/2014;430.72;447.53;422.94;440.29
29/4/2014;439.98;451.64;435.18;447.21
30/4/2014;446.89;451.1;436.7;447.64
1/5/2014;447.63;460.61;447.63;457.76
2/5/2014;457.36;457.93;443.4;449.38
3/5/2014;449.4;449.4;430.68;437.76
4/5/2014;438.52;439.77;430.05;436.4
5/5/2014;434.78;440.97;427.62;433.48
6/5/2014;433.36;448.04;423.25;428.96
7/5/2014;429.34;446.13;428.45;438.82
8/5/2014;438.68;448.4;438.14;440.17
9/5/2014;440.18;452.69;440.14;449.46
10/5/2014;450.46;455.77;448.47;454.43
11/5/2014;453.92;455.34;433.4;438.89
12/5/2014;438.3;442.26;434.23;441.46
13/5/2014;441.53;441.98;436.97;440.67
14/5/2014;440.59;446.66;440.5;443.97
15/5/2014;444.14;449.8;443.63;447.25
16/5/2014;447.39;450.66;444.96;448.06
17/5/2014;448.12;451.98;447.3;448.9
18/5/2014;448.7;449.77;444.78;446.26
19/5/2014;446.08;447.55;443.1;446.18
20/5/2014;446.3;491.44;446.01;485.72
