date,bitcoin_unscaled,bitcoin_monthly,isPartial,scale,bitcoin
2013-01-01,58,1.0,False,0.01,0.58
2013-01-02,45,1.0,,0.01,0.45
2013-01-03,33,1.0,,0.01,0.33
2013-01-04,52,1.0,,0.01,0.52
2013-01-05,100,1.0,,0.01,1.0
2013-01-06,60,1.0,,0.01,0.6
2013-01-07,77,1.0,,0.01,0.77
2013-01-08,40,1.0,,0.01,0.4
2013-01-09,65,1.0,,0.01,0.65
2013-01-10,47,1.0,,0.01,0.47000000000000003
2013-01-11,44,1.0,,0.01,0.44
2013-01-12,70,1.0,,0.01,0.7000000000000001
2013-01-13,43,1.0,,0.01,0.43
2013-01-14,46,1.0,,0.01,0.46
2013-01-15,46,1.0,,0.01,0.46
2013-01-16,25,1.0,,0.01,0.25
2013-01-17,43,1.0,,0.01,0.43
2013-01-18,62,1.0,,0.01,0.62
2013-01-19,35,1.0,,0.01,0.35000000000000003
2013-01-20,39,1.0,,0.01,0.39
2013-01-21,74,1.0,,0.01,0.74
2013-01-22,63,1.0,,0.01,0.63
2013-01-23,100,1.0,,0.01,1.0
2013-01-24,75,1.0,,0.01,0.75
2013-01-25,66,1.0,,0.01,0.66
2013-01-26,42,1.0,,0.01,0.42
2013-01-27,81,1.0,,0.01,0.81
2013-01-28,70,1.0,,0.01,0.7000000000000001
2013-01-29,81,1.0,,0.01,0.81
2013-01-30,66,1.0,,0.01,0.66
2013-01-31,94,1.0,,0.01,0.9400000000000001
2013-02-01,71,1.0,False,0.01,0.71
2013-02-02,67,1.0,,0.01,0.67
2013-02-03,16,1.0,,0.01,0.16
2013-02-04,74,1.0,,0.01,0.74
2013-02-05,30,1.0,,0.01,0.3
2013-02-06,63,1.0,,0.01,0.63
2013-02-07,52,1.0,,0.01,0.52
2013-02-08,56,1.0,,0.01,0.56
2013-02-09,40,1.0,,0.01,0.4
2013-02-10,84,1.0,,0.01,0.84
2013-02-11,40,1.0,,0.01,0.4
2013-02-12,57,1.0,,0.01,0.5700000000000001
2013-02-13,87,1.0,,0.01,0.87
2013-02-14,71,1.0,,0.01,0.71
2013-02-15,76,1.0,,0.01,0.76
2013-02-16,84,1.0,,0.01,0.84
2013-02-17,51,1.0,,0.01,0.51
2013-02-18,76,1.0,,0.01,0.76
2013-02-19,70,1.0,,0.01,0.7000000000000001
2013-02-20,46,1.0,,0.01,0.46
2013-02-21,69,1.0,,0.01,0.6900000000000001
2013-02-22,73,1.0,,0.01,0.73
2013-02-23,95,1.0,,0.01,0.9500000000000001
2013-02-24,100,1.0,,0.01,1.0
2013-02-25,74,1.0,,0.01,0.74
2013-02-26,47,1.0,,0.01,0.47000000000000003
2013-02-27,91,1.0,,0.01,0.91
2013-02-28,87,1.0,,0.01,0.87
2013-03-01,24,3.0,False,0.03,0.72
2013-03-02,23,3.0,,0.03,0.69
2013-03-03,16,3.0,,0.03,0.48
2013-03-04,21,3.0,,0.03,0.63
2013-03-05,25,3.0,,0.03,0.75
2013-03-06,38,3.0,,0.03,1.14
2013-03-07,37,3.0,,0.03,1.1099999999999999
2013-03-08,31,3.0,,0.03,0.9299999999999999
2013-03-09,35,3.0,,0.03,1.05
2013-03-10,26,3.0,,0.03,0.78
2013-03-11,31,3.0,,0.03,0.9299999999999999
2013-03-12,36,3.0,,0.03,1.08
2013-03-13,33,3.0,,0.03,0.99
2013-03-14,23,3.0,,0.03,0.69
2013-03-15,20,3.0,,0.03,0.6
2013-03-16,19,3.0,,0.03,0.57
2013-03-17,21,3.0,,0.03,0.63
2013-03-18,28,3.0,,0.03,0.84
2013-03-19,41,3.0,,0.03,1.23
2013-03-20,37,3.0,,0.03,1.1099999999999999
2013-03-21,51,3.0,,0.03,1.53
2013-03-22,64,3.0,,0.03,1.92
2013-03-23,58,3.0,,0.03,1.74
2013-03-24,51,3.0,,0.03,1.53
2013-03-25,43,3.0,,0.03,1.29
2013-03-26,52,3.0,,0.03,1.56
2013-03-27,54,3.0,,0.03,1.6199999999999999
2013-03-28,92,3.0,,0.03,2.76
2013-03-29,100,3.0,,0.03,3.0
2013-03-30,71,3.0,,0.03,2.13
2013-03-31,67,3.0,,0.03,2.01
2013-04-01,24,8.0,False,0.08,1.92
2013-04-02,33,8.0,,0.08,2.64
2013-04-03,50,8.0,,0.08,4.0
2013-04-04,44,8.0,,0.08,3.52
2013-04-05,36,8.0,,0.08,2.88
2013-04-06,25,8.0,,0.08,2.0
2013-04-07,30,8.0,,0.08,2.4
2013-04-08,40,8.0,,0.08,3.2
2013-04-09,49,8.0,,0.08,3.92
2013-04-10,89,8.0,,0.08,7.12
2013-04-11,100,8.0,,0.08,8.0
2013-04-12,94,8.0,,0.08,7.5200000000000005
2013-04-13,56,8.0,,0.08,4.48
2013-04-14,43,8.0,,0.08,3.44
2013-04-15,46,8.0,,0.08,3.68
2013-04-16,40,8.0,,0.08,3.2
2013-04-17,28,8.0,,0.08,2.24
2013-04-18,34,8.0,,0.08,2.72
2013-04-19,29,8.0,,0.08,2.32
2013-04-20,20,8.0,,0.08,1.6
2013-04-21,19,8.0,,0.08,1.52
2013-04-22,20,8.0,,0.08,1.6
2013-04-23,20,8.0,,0.08,1.6
2013-04-24,24,8.0,,0.08,1.92
2013-04-25,16,8.0,,0.08,1.28
2013-04-26,15,8.0,,0.08,1.2
2013-04-27,17,8.0,,0.08,1.36
2013-04-28,17,8.0,,0.08,1.36
2013-04-29,15,8.0,,0.08,1.2
2013-04-30,16,8.0,,0.08,1.28
2013-05-01,81,3.0,False,0.03,2.4299999999999997
2013-05-02,95,3.0,,0.03,2.85
2013-05-03,100,3.0,,0.03,3.0
2013-05-04,81,3.0,,0.03,2.4299999999999997
2013-05-05,88,3.0,,0.03,2.6399999999999997
2013-05-06,68,3.0,,0.03,2.04
2013-05-07,69,3.0,,0.03,2.07
2013-05-08,77,3.0,,0.03,2.31
2013-05-09,74,3.0,,0.03,2.2199999999999998
2013-05-10,55,3.0,,0.03,1.65
2013-05-11,69,3.0,,0.03,2.07
2013-05-12,54,3.0,,0.03,1.6199999999999999
2013-05-13,55,3.0,,0.03,1.65
2013-05-14,72,3.0,,0.03,2.16
2013-05-15,81,3.0,,0.03,2.4299999999999997
2013-05-16,87,3.0,,0.03,2.61
2013-05-17,58,3.0,,0.03,1.74
2013-05-18,61,3.0,,0.03,1.8299999999999998
2013-05-19,87,3.0,,0.03,2.61
2013-05-20,59,3.0,,0.03,1.77
2013-05-21,52,3.0,,0.03,1.56
2013-05-22,66,3.0,,0.03,1.98
2013-05-23,54,3.0,,0.03,1.6199999999999999
2013-05-24,45,3.0,,0.03,1.3499999999999999
2013-05-25,41,3.0,,0.03,1.23
2013-05-26,46,3.0,,0.03,1.38
2013-05-27,36,3.0,,0.03,1.08
2013-05-28,57,3.0,,0.03,1.71
2013-05-29,75,3.0,,0.03,2.25
2013-05-30,53,3.0,,0.03,1.5899999999999999
2013-05-31,45,3.0,,0.03,1.3499999999999999
2013-06-01,78,2.0,False,0.02,1.56
2013-06-02,73,2.0,,0.02,1.46
2013-06-03,66,2.0,,0.02,1.32
2013-06-04,51,2.0,,0.02,1.02
2013-06-05,62,2.0,,0.02,1.24
2013-06-06,74,2.0,,0.02,1.48
2013-06-07,49,2.0,,0.02,0.98
2013-06-08,57,2.0,,0.02,1.1400000000000001
2013-06-09,56,2.0,,0.02,1.12
2013-06-10,72,2.0,,0.02,1.44
2013-06-11,100,2.0,,0.02,2.0
2013-06-12,64,2.0,,0.02,1.28
2013-06-13,41,2.0,,0.02,0.8200000000000001
2013-06-14,58,2.0,,0.02,1.16
2013-06-15,63,2.0,,0.02,1.26
2013-06-16,39,2.0,,0.02,0.78
2013-06-17,51,2.0,,0.02,1.02
2013-06-18,60,2.0,,0.02,1.2
2013-06-19,40,2.0,,0.02,0.8
2013-06-20,52,2.0,,0.02,1.04
2013-06-21,46,2.0,,0.02,0.92
2013-06-22,51,2.0,,0.02,1.02
2013-06-23,62,2.0,,0.02,1.24
2013-06-24,61,2.0,,0.02,1.22
2013-06-25,64,2.0,,0.02,1.28
2013-06-26,45,2.0,,0.02,0.9
2013-06-27,59,2.0,,0.02,1.18
2013-06-28,85,2.0,,0.02,1.7
2013-06-29,47,2.0,,0.02,0.9400000000000001
2013-06-30,53,2.0,,0.02,1.06
2013-07-01,87,2.0,False,0.02,1.74
2013-07-02,100,2.0,,0.02,2.0
2013-07-03,90,2.0,,0.02,1.8
2013-07-04,64,2.0,,0.02,1.28
2013-07-05,55,2.0,,0.02,1.1
2013-07-06,53,2.0,,0.02,1.06
2013-07-07,56,2.0,,0.02,1.12
2013-07-08,52,2.0,,0.02,1.04
2013-07-09,55,2.0,,0.02,1.1
2013-07-10,56,2.0,,0.02,1.12
2013-07-11,52,2.0,,0.02,1.04
2013-07-12,43,2.0,,0.02,0.86
2013-07-13,49,2.0,,0.02,0.98
2013-07-14,37,2.0,,0.02,0.74
2013-07-15,37,2.0,,0.02,0.74
2013-07-16,32,2.0,,0.02,0.64
2013-07-17,32,2.0,,0.02,0.64
2013-07-18,42,2.0,,0.02,0.84
2013-07-19,26,2.0,,0.02,0.52
2013-07-20,50,2.0,,0.02,1.0
2013-07-21,43,2.0,,0.02,0.86
2013-07-22,43,2.0,,0.02,0.86
2013-07-23,51,2.0,,0.02,1.02
2013-07-24,48,2.0,,0.02,0.96
2013-07-25,42,2.0,,0.02,0.84
2013-07-26,38,2.0,,0.02,0.76
2013-07-27,42,2.0,,0.02,0.84
2013-07-28,45,2.0,,0.02,0.9
2013-07-29,43,2.0,,0.02,0.86
2013-07-30,49,2.0,,0.02,0.98
2013-07-31,62,2.0,,0.02,1.24
2013-08-01,64,2.0,False,0.02,1.28
2013-08-02,48,2.0,,0.02,0.96
2013-08-03,59,2.0,,0.02,1.18
2013-08-04,87,2.0,,0.02,1.74
2013-08-05,84,2.0,,0.02,1.68
2013-08-06,70,2.0,,0.02,1.4000000000000001
2013-08-07,78,2.0,,0.02,1.56
2013-08-08,80,2.0,,0.02,1.6
2013-08-09,94,2.0,,0.02,1.8800000000000001
2013-08-10,59,2.0,,0.02,1.18
2013-08-11,56,2.0,,0.02,1.12
2013-08-12,82,2.0,,0.02,1.6400000000000001
2013-08-13,78,2.0,,0.02,1.56
2013-08-14,100,2.0,,0.02,2.0
2013-08-15,99,2.0,,0.02,1.98
2013-08-16,58,2.0,,0.02,1.16
2013-08-17,99,2.0,,0.02,1.98
2013-08-18,83,2.0,,0.02,1.6600000000000001
2013-08-19,74,2.0,,0.02,1.48
2013-08-20,69,2.0,,0.02,1.3800000000000001
2013-08-21,81,2.0,,0.02,1.62
2013-08-22,92,2.0,,0.02,1.84
2013-08-23,67,2.0,,0.02,1.34
2013-08-24,65,2.0,,0.02,1.3
2013-08-25,62,2.0,,0.02,1.24
2013-08-26,51,2.0,,0.02,1.02
2013-08-27,60,2.0,,0.02,1.2
2013-08-28,90,2.0,,0.02,1.8
2013-08-29,67,2.0,,0.02,1.34
2013-08-30,54,2.0,,0.02,1.08
2013-08-31,59,2.0,,0.02,1.18
2013-09-01,59,1.0,False,0.01,0.59
2013-09-02,49,1.0,,0.01,0.49
2013-09-03,88,1.0,,0.01,0.88
2013-09-04,57,1.0,,0.01,0.5700000000000001
2013-09-05,48,1.0,,0.01,0.48
2013-09-06,100,1.0,,0.01,1.0
2013-09-07,61,1.0,,0.01,0.61
2013-09-08,75,1.0,,0.01,0.75
2013-09-09,86,1.0,,0.01,0.86
2013-09-10,71,1.0,,0.01,0.71
2013-09-11,68,1.0,,0.01,0.68
2013-09-12,75,1.0,,0.01,0.75
2013-09-13,66,1.0,,0.01,0.66
2013-09-14,50,1.0,,0.01,0.5
2013-09-15,65,1.0,,0.01,0.65
2013-09-16,45,1.0,,0.01,0.45
2013-09-17,56,1.0,,0.01,0.56
2013-09-18,67,1.0,,0.01,0.67
2013-09-19,37,1.0,,0.01,0.37
2013-09-20,72,1.0,,0.01,0.72
2013-09-21,62,1.0,,0.01,0.62
2013-09-22,79,1.0,,0.01,0.79
2013-09-23,78,1.0,,0.01,0.78
2013-09-24,50,1.0,,0.01,0.5
2013-09-25,75,1.0,,0.01,0.75
2013-09-26,66,1.0,,0.01,0.66
2013-09-27,68,1.0,,0.01,0.68
2013-09-28,42,1.0,,0.01,0.42
2013-09-29,57,1.0,,0.01,0.5700000000000001
2013-09-30,53,1.0,,0.01,0.53
2013-10-01,13,3.0,False,0.03,0.39
2013-10-02,62,3.0,,0.03,1.8599999999999999
2013-10-03,84,3.0,,0.03,2.52
2013-10-04,54,3.0,,0.03,1.6199999999999999
2013-10-05,43,3.0,,0.03,1.29
2013-10-06,30,3.0,,0.03,0.8999999999999999
2013-10-07,36,3.0,,0.03,1.08
2013-10-08,37,3.0,,0.03,1.1099999999999999
2013-10-09,31,3.0,,0.03,0.9299999999999999
2013-10-10,25,3.0,,0.03,0.75
2013-10-11,18,3.0,,0.03,0.54
2013-10-12,17,3.0,,0.03,0.51
2013-10-13,19,3.0,,0.03,0.57
2013-10-14,18,3.0,,0.03,0.54
2013-10-15,21,3.0,,0.03,0.63
2013-10-16,24,3.0,,0.03,0.72
2013-10-17,26,3.0,,0.03,0.78
2013-10-18,24,3.0,,0.03,0.72
2013-10-19,23,3.0,,0.03,0.69
2013-10-20,19,3.0,,0.03,0.57
2013-10-21,26,3.0,,0.03,0.78
2013-10-22,31,3.0,,0.03,0.9299999999999999
2013-10-23,26,3.0,,0.03,0.78
2013-10-24,35,3.0,,0.03,1.05
2013-10-25,27,3.0,,0.03,0.8099999999999999
