date,tweets
2013-10-01,3215
2013-10-02,8093
2013-10-03,8362
2013-10-04,5451
2013-10-05,4347
2013-10-06,3522
2013-10-07,5000
2013-10-08,4324
2013-10-09,3870
2013-10-10,3462
2013-10-11,3758
2013-10-12,2735
2013-10-13,2924
2013-10-14,4262
2013-10-15,4819
2013-10-16,4732
2013-10-17,3960
2013-10-18,3872
2013-10-19,3800
2013-10-20,3065
2013-10-21,4532
2013-10-22,5331
2013-10-23,5491
2013-10-24,5318
2013-10-25,5891
2013-10-26,5408
2013-10-27,4710
2013-10-28,6261
2013-10-29,9547
2013-10-30,10223
2013-10-31,9780
2013-11-01,5641
2013-11-02,4675
2013-11-03,4892
2013-11-04,7514
2013-11-05,8725
2013-11-06,9412
2013-11-07,10470
2013-11-08,10030
2013-11-09,7427
2013-11-10,5759
2013-11-11,6624
2013-11-12,8576
2013-11-13,8587
2013-11-14,8098
2013-11-15,7849
2013-11-16,5948
2013-11-17,7740
2013-11-18,23002
2013-11-19,26173
2013-11-20,16253
2013-11-21,14271
2013-11-22,16298
2013-11-23,11065
2013-11-24,9798
2013-11-25,14038
2013-11-26,15816
2013-11-27,28064
2013-11-28,24784
2013-11-29,21412
2013-11-30,12785
2013-12-01,14268
2013-12-02,18236
2013-12-03,18095
2013-12-04,18109
2013-12-05,29683
2013-12-06,23267
2013-12-07,17504
2013-12-08,14862
2013-12-09,19504
2013-12-10,20135
2013-12-11,20744
2013-12-12,20813
2013-12-13,23510
2013-12-14,13175
2013-12-15,13598
2013-12-16,22631
2013-12-17,19706
2013-12-18,31580
2013-12-19,20462
2013-12-20,16135
2013-12-21,13716
2013-12-22,14049
2013-12-23,16592
2013-12-24,14752
2013-12-25,10373
2013-12-26,12206
2013-12-27,15662
2013-12-28,13090
2013-12-29,11891
2013-12-30,15150
2013-12-31,12188
2014-01-01,10128
2014-01-02,14780
2014-01-03,16259
2014-01-04,13503
2014-01-05,13685
2014-01-06,20251
2014-01-07,18620
2014-01-08,18272
2014-01-09,20068
2014-01-10,20771
2014-01-11,13315
2014-01-12,22472
2014-01-13,28579
2014-01-14,17785
2014-01-15,16816
2014-01-16,19752
2014-01-17,16992
2014-01-18,11193
2014-01-19,11854
2014-01-20,17800
2014-01-21,21882
2014-01-22,22163
2014-01-23,19357
2014-01-24,18203
2014-01-25,12471
2014-01-26,11161
2014-01-27,25061
2014-01-28,24301
2014-01-29,18828
2014-01-30,16109
2014-01-31,14405
2014-02-01,11563
2014-02-02,10465
2014-02-03,14211
2014-02-04,16822
2014-02-05,15834
2014-02-06,23536
2014-02-07,25800
2014-02-08,14309
2014-02-09,13666
2014-02-10,29015
2014-02-11,26436
2014-02-12,22810
2014-02-13,18411
2014-02-14,19823
2014-02-15,13837
2014-02-16,13406
2014-02-17,17162
2014-02-18,22400
2014-02-19,19699
2014-02-20,19557
2014-02-21,17217
2014-02-22,12002
2014-02-23,11493
2014-02-24,18962
2014-02-25,52232
2014-02-26,40666
2014-02-27,30526
2014-02-28,41298
2014-03-01,21810
2014-03-02,17819
2014-03-03,25315
2014-03-04,28393
2014-03-05,31777
2014-03-06,51382
2014-03-07,58851
2014-03-08,22347
2014-03-09,18723
2014-03-10,26633
2014-03-11,24634
2014-03-12,22444
2014-03-13,19630
2014-03-14,21407
2014-03-15,14956
2014-03-16,13625
2014-03-17,22530
2014-03-18,19410
2014-03-19,17543
2014-03-20,19000
2014-03-21,21646
2014-03-22,13692
2014-03-23,13259
2014-03-24,16643
2014-03-25,27140
2014-03-26,25620
2014-03-27,22387
2014-03-28,18481
2014-03-29,13596
2014-03-30,12829
2014-03-31,18069
2014-04-01,19475
2014-04-02,18073
2014-04-03,16737
2014-04-04,15114
2014-04-05,13550
2014-04-06,11032
2014-04-07,15954
2014-04-08,16147
2014-04-09,18129
2014-04-10,16609
2014-04-11,14283
2014-04-12,10281
2014-04-13,9177
2014-04-14,12617
2014-04-15,15799
2014-04-16,20446
2014-04-17,13935
2014-04-18,11984
2014-04-19,10493
2014-04-20,9595
2014-04-21,12723
2014-04-22,14770
2014-04-23,15152
2014-04-24,15720
2014-04-25,15856
2014-04-26,10670
2014-04-27,9951
2014-04-28,14383
2014-04-29,17857
2014-04-30,19838
2014-05-01,13672
2014-05-02,12589
2014-05-03,10921
2014-05-04,9706
2014-05-05,16054
2014-05-06,17380
2014-05-07,14534
2014-05-08,16283
2014-05-09,18332
2014-05-10,11511
2014-05-11,10819
2014-05-12,13240
2014-05-13,16326
2014-05-14,15978
2014-05-15,13995
2014-05-16,19220
2014-05-17,11826
2014-05-18,12522
2014-05-19,18032
2014-05-20,16516
2014-05-21,15942
2014-05-22,16616
2014-05-23,19552
2014-05-24,10347
2014-05-25,10500
2014-05-26,12856
2014-05-27,14897
2014-05-28,15029
2014-05-29,18742
2014-05-30,14415
2014-05-31,9434
2014-06-01,10796
2014-06-02,14726
2014-06-03,18379
2014-06-04,16255
2014-06-05,15043
2014-06-06,13784
2014-06-07,10257
2014-06-08,9193
2014-06-09,12348
2014-06-10,14487
2014-06-11,17444
2014-06-12,18619
2014-06-13,18122
2014-06-14,13227
2014-06-15,13363
2014-06-16,20527
2014-06-17,17255
2014-06-18,19004
2014-06-19,17245
2014-06-20,14832
2014-06-21,11575
2014-06-22,10376
2014-06-23,14933
2014-06-24,14575
2014-06-25,14902
2014-06-26,15270
2014-06-27,14069
2014-06-28,11150
2014-06-29,12804
2014-06-30,19213
2014-07-01,18418
2014-07-02,19782
2014-07-03,16505
2014-07-04,15126
2014-07-05,11193
2014-07-06,10544
2014-07-07,15969
2014-07-08,15550
2014-07-09,16058
2014-07-10,16992
2014-07-11,15146
2014-07-12,12321
2014-07-13,11261
2014-07-14,14504
2014-07-15,16132
2014-07-16,18465
2014-07-17,18181
2014-07-18,20127
2014-07-19,14502
2014-07-20,12833
2014-07-21,17038
2014-07-22,15443
2014-07-23,15853
2014-07-24,15316
2014-07-25,14875
2014-07-26,10607
2014-07-27,10326
2014-07-28,16049
2014-07-29,15495
2014-07-30,17195
