language,article,date,views
en,bitcoin,1/10/2013,6681
en,bitcoin,2/10/2013,20607
en,bitcoin,3/10/2013,51817
en,bitcoin,4/10/2013,27459
en,bitcoin,5/10/2013,16344
en,bitcoin,6/10/2013,12305
en,bitcoin,7/10/2013,15380
en,bitcoin,8/10/2013,14054
en,bitcoin,9/10/2013,13616
en,bitcoin,10/10/2013,10840
en,bitcoin,11/10/2013,8401
en,bitcoin,12/10/2013,6008
en,bitcoin,13/10/2013,6097
en,bitcoin,14/10/2013,7880
en,bitcoin,15/10/2013,9210
en,bitcoin,16/10/2013,9275
en,bitcoin,17/10/2013,8351
en,bitcoin,18/10/2013,9657
en,bitcoin,19/10/2013,6399
en,bitcoin,20/10/2013,6534
en,bitcoin,21/10/2013,8267
en,bitcoin,22/10/2013,9235
en,bitcoin,23/10/2013,11364
en,bitcoin,24/10/2013,0
en,bitcoin,25/10/2013,11391
en,bitcoin,26/10/2013,16094
en,bitcoin,27/10/2013,18528
en,bitcoin,28/10/2013,19125
en,bitcoin,29/10/2013,43895
en,bitcoin,30/10/2013,77608
en,bitcoin,31/10/2013,115224
en,bitcoin,1/11/2013,28606
en,bitcoin,2/11/2013,19619
en,bitcoin,3/11/2013,16334
en,bitcoin,4/11/2013,26800
en,bitcoin,5/11/2013,28895
en,bitcoin,6/11/2013,32477
en,bitcoin,7/11/2013,27579
en,bitcoin,8/11/2013,27197
en,bitcoin,9/11/2013,26153
en,bitcoin,10/11/2013,22777
en,bitcoin,11/11/2013,22879
en,bitcoin,12/11/2013,26782
en,bitcoin,13/11/2013,28443
en,bitcoin,14/11/2013,31263
en,bitcoin,15/11/2013,34580
en,bitcoin,16/11/2013,25547
en,bitcoin,17/11/2013,22879
en,bitcoin,18/11/2013,69504
en,bitcoin,19/11/2013,109817
en,bitcoin,20/11/2013,70783
en,bitcoin,21/11/2013,62246
en,bitcoin,22/11/2013,61215
en,bitcoin,23/11/2013,37613
en,bitcoin,24/11/2013,33839
en,bitcoin,25/11/2013,38602
en,bitcoin,26/11/2013,43793
en,bitcoin,27/11/2013,73404
en,bitcoin,28/11/2013,130181
en,bitcoin,29/11/2013,112777
en,bitcoin,30/11/2013,85373
en,bitcoin,1/12/2013,51126
en,bitcoin,2/12/2013,77393
en,bitcoin,3/12/2013,76157
en,bitcoin,4/12/2013,60002
en,bitcoin,5/12/2013,93258
en,bitcoin,6/12/2013,95002
en,bitcoin,7/12/2013,0
en,bitcoin,8/12/2013,46558
en,bitcoin,9/12/2013,56352
en,bitcoin,10/12/2013,57509
en,bitcoin,11/12/2013,57718
en,bitcoin,12/12/2013,48759
en,bitcoin,13/12/2013,47803
en,bitcoin,14/12/2013,40134
en,bitcoin,15/12/2013,45830
en,bitcoin,16/12/2013,53120
en,bitcoin,17/12/2013,47409
en,bitcoin,18/12/2013,74404
en,bitcoin,19/12/2013,55139
en,bitcoin,20/12/2013,38519
en,bitcoin,21/12/2013,30743
en,bitcoin,22/12/2013,0
en,bitcoin,23/12/2013,41961
en,bitcoin,24/12/2013,35994
en,bitcoin,25/12/2013,29815
en,bitcoin,26/12/2013,32744
en,bitcoin,27/12/2013,36558
en,bitcoin,28/12/2013,29141
en,bitcoin,29/12/2013,29143
en,bitcoin,30/12/2013,31518
en,bitcoin,31/12/2013,27552
en,bitcoin,1/1/2014,23920
en,bitcoin,2/1/2014,28769
en,bitcoin,3/1/2014,30480
en,bitcoin,4/1/2014,23575
en,bitcoin,5/1/2014,4842
en,bitcoin,6/1/2014,16190
en,bitcoin,7/1/2014,39818
en,bitcoin,8/1/2014,41184
en,bitcoin,9/1/2014,88174
en,bitcoin,10/1/2014,41792
en,bitcoin,11/1/2014,27669
en,bitcoin,12/1/2014,27808
en,bitcoin,13/1/2014,34655
en,bitcoin,14/1/2014,78174
en,bitcoin,15/1/2014,83586
en,bitcoin,16/1/2014,49291
en,bitcoin,17/1/2014,52817
en,bitcoin,18/1/2014,56058
en,bitcoin,19/1/2014,25532
en,bitcoin,20/1/2014,70268
en,bitcoin,21/1/2014,47656
en,bitcoin,22/1/2014,53468
en,bitcoin,23/1/2014,40808
en,bitcoin,24/1/2014,36119
en,bitcoin,25/1/2014,23499
en,bitcoin,26/1/2014,26123
en,bitcoin,27/1/2014,53134
en,bitcoin,28/1/2014,57478
en,bitcoin,29/1/2014,42170
en,bitcoin,30/1/2014,35886
en,bitcoin,31/1/2014,29479
en,bitcoin,1/2/2014,28212
en,bitcoin,2/2/2014,25330
en,bitcoin,3/2/2014,30030
en,bitcoin,4/2/2014,46787
en,bitcoin,5/2/2014,33076
en,bitcoin,6/2/2014,33366
en,bitcoin,7/2/2014,42980
en,bitcoin,8/2/2014,30997
en,bitcoin,9/2/2014,31553
en,bitcoin,10/2/2014,44966
en,bitcoin,11/2/2014,37538
en,bitcoin,12/2/2014,29049
en,bitcoin,13/2/2014,25940
en,bitcoin,14/2/2014,28406
en,bitcoin,15/2/2014,18418
en,bitcoin,16/2/2014,20851
en,bitcoin,17/2/2014,23509
en,bitcoin,18/2/2014,33351
en,bitcoin,19/2/2014,34429
en,bitcoin,20/2/2014,34802
en,bitcoin,21/2/2014,24229
en,bitcoin,22/2/2014,18493
en,bitcoin,23/2/2014,16118
en,bitcoin,24/2/2014,20927
en,bitcoin,25/2/2014,92036
en,bitcoin,26/2/2014,66480
en,bitcoin,27/2/2014,43424
en,bitcoin,28/2/2014,67265
en,bitcoin,1/3/2014,46656
en,bitcoin,2/3/2014,29730
en,bitcoin,3/3/2014,32606
en,bitcoin,4/3/2014,33148
en,bitcoin,5/3/2014,47783
en,bitcoin,6/3/2014,90006
en,bitcoin,7/3/2014,117065
en,bitcoin,8/3/2014,39655
en,bitcoin,9/3/2014,26141
en,bitcoin,10/3/2014,31624
en,bitcoin,11/3/2014,29032
en,bitcoin,12/3/2014,27645
en,bitcoin,13/3/2014,24841
en,bitcoin,14/3/2014,20255
en,bitcoin,15/3/2014,13506
en,bitcoin,16/3/2014,12589
en,bitcoin,17/3/2014,19148
en,bitcoin,18/3/2014,19369
en,bitcoin,19/3/2014,17294
en,bitcoin,20/3/2014,21626
en,bitcoin,21/3/2014,36263
en,bitcoin,22/3/2014,19407
en,bitcoin,23/3/2014,15593
en,bitcoin,24/3/2014,17249
en,bitcoin,25/3/2014,20791
en,bitcoin,26/3/2014,27448
en,bitcoin,27/3/2014,19570
en,bitcoin,28/3/2014,16530
en,bitcoin,29/3/2014,11215
en,bitcoin,30/3/2014,11798
en,bitcoin,31/3/2014,19679
en,bitcoin,1/4/2014,16551
en,bitcoin,2/4/2014,18444
en,bitcoin,3/4/2014,22610
en,bitcoin,4/4/2014,20740
en,bitcoin,5/4/2014,12701
en,bitcoin,6/4/2014,8991
en,bitcoin,7/4/2014,12122
en,bitcoin,8/4/2014,12747
en,bitcoin,9/4/2014,16949
en,bitcoin,10/4/2014,14318
en,bitcoin,11/4/2014,12685
en,bitcoin,12/4/2014,8991
en,bitcoin,13/4/2014,9531
en,bitcoin,14/4/2014,19032
en,bitcoin,15/4/2014,12560
en,bitcoin,16/4/2014,16738
en,bitcoin,17/4/2014,15377
en,bitcoin,18/4/2014,9682
en,bitcoin,19/4/2014,9401
en,bitcoin,20/4/2014,7476
en,bitcoin,21/4/2014,10548
en,bitcoin,22/4/2014,11752
en,bitcoin,23/4/2014,10895
en,bitcoin,24/4/2014,10412
en,bitcoin,25/4/2014,11919
en,bitcoin,26/4/2014,7220
en,bitcoin,27/4/2014,8864
en,bitcoin,28/4/2014,12661
en,bitcoin,29/4/2014,10985
en,bitcoin,30/4/2014,14574
en,bitcoin,1/5/2014,11423
en,bitcoin,2/5/2014,8729
en,bitcoin,3/5/2014,5872
en,bitcoin,4/5/2014,6501
en,bitcoin,5/5/2014,12079
en,bitcoin,6/5/2014,9582
en,bitcoin,7/5/2014,9539
en,bitcoin,8/5/2014,9254
en,bitcoin,9/5/2014,11354
en,bitcoin,10/5/2014,7988
en,bitcoin,11/5/2014,7519
en,bitcoin,12/5/2014,8629
en,bitcoin,13/5/2014,9361
en,bitcoin,14/5/2014,9304
en,bitcoin,15/5/2014,8948
en,bitcoin,16/5/2014,7618
en,bitcoin,17/5/2014,5796
en,bitcoin,18/5/2014,5962
en,bitcoin,19/5/2014,8089
en,bitcoin,20/5/2014,12913
en,bitcoin,21/5/2014,9835
en,bitcoin,22/5/2014,9042
en,bitcoin,23/5/2014,7501
en,bitcoin,24/5/2014,5505
en,bitcoin,25/5/2014,6019
en,bitcoin,26/5/2014,8083
en,bitcoin,27/5/2014,9932
en,bitcoin,28/5/2014,10016
en,bitcoin,29/5/2014,11368
en,bitcoin,30/5/2014,9588
en,bitcoin,31/5/2014,6171
en,bitcoin,1/6/2014,6070
en,bitcoin,2/6/2014,9238
en,bitcoin,3/6/2014,12268
en,bitcoin,4/6/2014,11192
en,bitcoin,5/6/2014,10065
en,bitcoin,6/6/2014,7973
en,bitcoin,7/6/2014,6481
en,bitcoin,8/6/2014,7127
en,bitcoin,9/6/2014,9093
en,bitcoin,10/6/2014,10127
en,bitcoin,11/6/2014,9738
en,bitcoin,12/6/2014,14201
en,bitcoin,13/6/2014,17856
en,bitcoin,14/6/2014,7551
en,bitcoin,15/6/2014,8052
en,bitcoin,16/6/2014,13659
en,bitcoin,17/6/2014,14437
en,bitcoin,18/6/2014,13661
en,bitcoin,19/6/2014,12077
en,bitcoin,20/6/2014,9552
en,bitcoin,21/6/2014,5279
en,bitcoin,22/6/2014,5176
en,bitcoin,23/6/2014,6912
en,bitcoin,24/6/2014,7106
en,bitcoin,25/6/2014,6986
en,bitcoin,26/6/2014,6347
en,bitcoin,27/6/2014,12225
en,bitcoin,28/6/2014,9892
en,bitcoin,29/6/2014,5872
en,bitcoin,30/6/2014,9141
en,bitcoin,1/7/2014,7727
en,bitcoin,2/7/2014,10161
en,bitcoin,3/7/2014,8602
en,bitcoin,4/7/2014,6706
en,bitcoin,5/7/2014,5180
en,bitcoin,6/7/2014,4960
en,bitcoin,7/7/2014,8044
en,bitcoin,8/7/2014,0
en,bitcoin,9/7/2014,0
en,bitcoin,10/7/2014,0
en,bitcoin,11/7/2014,0
en,bitcoin,12/7/2014,0
en,bitcoin,13/7/2014,0
en,bitcoin,14/7/2014,0
en,bitcoin,15/7/2014,0
en,bitcoin,16/7/2014,0
en,bitcoin,17/7/2014,0
en,bitcoin,18/7/2014,0
en,bitcoin,19/7/2014,0
en,bitcoin,20/7/2014,0
en,bitcoin,21/7/2014,0
en,bitcoin,22/7/2014,0
en,bitcoin,23/7/2014,0
en,bitcoin,24/7/2014,0
en,bitcoin,25/7/2014,0
en,bitcoin,26/7/2014,0
en,bitcoin,27/7/2014,0
en,bitcoin,28/7/2014,0
en,bitcoin,29/7/2014,0
en,bitcoin,30/7/2014,0
en,bitcoin,31/7/2014,0
en,bitcoin,1/8/2014,0
en,bitcoin,2/8/2014,0
en,bitcoin,3/8/2014,0
en,bitcoin,4/8/2014,0
en,bitcoin,5/8/2014,0
en,bitcoin,6/8/2014,0
en,bitcoin,7/8/2014,0
en,bitcoin,8/8/2014,0
en,bitcoin,9/8/2014,0
en,bitcoin,10/8/2014,0
en,bitcoin,11/8/2014,0
en,bitcoin,12/8/2014,0
en,bitcoin,13/8/2014,0
en,bitcoin,14/8/2014,0
en,bitcoin,15/8/2014,0
en,bitcoin,16/8/2014,0
en,bitcoin,17/8/2014,0
en,bitcoin,18/8/2014,0
en,bitcoin,19/8/2014,0
en,bitcoin,20/8/2014,8414
en,bitcoin,21/8/2014,0
en,bitcoin,22/8/2014,7224
en,bitcoin,23/8/2014,0
en,bitcoin,24/8/2014,5142
en,bitcoin,25/8/2014,0
en,bitcoin,26/8/2014,0
en,bitcoin,27/8/2014,0
en,bitcoin,28/8/2014,0
en,bitcoin,29/8/2014,6783
en,bitcoin,30/8/2014,5505
en,bitcoin,31/8/2014,6397
en,bitcoin,1/9/2014,0
en,bitcoin,2/9/2014,0
en,bitcoin,3/9/2014,0
en,bitcoin,4/9/2014,10470
en,bitcoin,5/9/2014,10110
en,bitcoin,6/9/2014,5957
en,bitcoin,7/9/2014,5357
en,bitcoin,8/9/2014,0
en,bitcoin,9/9/2014,8813
en,bitcoin,10/9/2014,9278
en,bitcoin,11/9/2014,10000
en,bitcoin,12/9/2014,9027
en,bitcoin,13/9/2014,0
en,bitcoin,14/9/2014,5940
en,bitcoin,15/9/2014,0
en,bitcoin,16/9/2014,7937
en,bitcoin,17/9/2014,7758
en,bitcoin,18/9/2014,0
en,bitcoin,19/9/2014,6579
en,bitcoin,20/9/2014,5121
en,bitcoin,21/9/2014,6037
en,bitcoin,22/9/2014,7366
en,bitcoin,23/9/2014,0
en,bitcoin,24/9/2014,9993
en,bitcoin,25/9/2014,0
en,bitcoin,26/9/2014,0
en,bitcoin,27/9/2014,0
en,bitcoin,28/9/2014,4977
en,bitcoin,29/9/2014,7530
en,bitcoin,30/9/2014,7643
en,bitcoin,1/10/2014,7696
en,bitcoin,2/10/2014,7323
en,bitcoin,3/10/2014,6635
en,bitcoin,4/10/2014,5098
en,bitcoin,5/10/2014,5651
en,bitcoin,6/10/2014,8656
en,bitcoin,7/10/2014,0
en,bitcoin,8/10/2014,0
en,bitcoin,9/10/2014,7535
en,bitcoin,10/10/2014,6698
en,bitcoin,11/10/2014,0
en,bitcoin,12/10/2014,5184
en,bitcoin,13/10/2014,8301
en,bitcoin,14/10/2014,0
en,bitcoin,15/10/2014,7667
en,bitcoin,16/10/2014,6187
en,bitcoin,17/10/2014,0
en,bitcoin,18/10/2014,4346
en,bitcoin,19/10/2014,4417
en,bitcoin,20/10/2014,5783
en,bitcoin,21/10/2014,5633
en,bitcoin,22/10/2014,5628
en,bitcoin,23/10/2014,0
en,bitcoin,24/10/2014,4689
en,bitcoin,25/10/2014,3681
en,bitcoin,26/10/2014,4019
en,bitcoin,27/10/2014,5347
en,bitcoin,28/10/2014,5664
en,bitcoin,29/10/2014,5629
en,bitcoin,30/10/2014,5302
en,bitcoin,31/10/2014,4995
en,bitcoin,1/11/2014,4333
en,bitcoin,2/11/2014,5614
en,bitcoin,3/11/2014,6434
en,bitcoin,4/11/2014,6578
en,bitcoin,5/11/2014,6613
en,bitcoin,6/11/2014,0
en,bitcoin,7/11/2014,7381
en,bitcoin,8/11/2014,4984
en,bitcoin,9/11/2014,5006
en,bitcoin,10/11/2014,6916
en,bitcoin,11/11/2014,0
en,bitcoin,12/11/2014,7097
en,bitcoin,13/11/2014,0
en,bitcoin,14/11/2014,6897
en,bitcoin,15/11/2014,4606
en,bitcoin,16/11/2014,4804
en,bitcoin,17/11/2014,6911
en,bitcoin,18/11/2014,7435
en,bitcoin,19/11/2014,6438
en,bitcoin,20/11/2014,0
en,bitcoin,21/11/2014,0
en,bitcoin,22/11/2014,3891
en,bitcoin,23/11/2014,62461
en,bitcoin,24/11/2014,5383
en,bitcoin,25/11/2014,5426
en,bitcoin,26/11/2014,5696
en,bitcoin,27/11/2014,2
en,bitcoin,28/11/2014,4628
en,bitcoin,29/11/2014,3859
en,bitcoin,30/11/2014,3647
en,bitcoin,1/12/2014,6251
en,bitcoin,2/12/2014,0
en,bitcoin,3/12/2014,6536
en,bitcoin,4/12/2014,0
en,bitcoin,5/12/2014,0
